room_nb room_name x y longueur largeur windows doors
1 Laboratoire 0 0 763 328 4 1 
2 Bureau 763 0 386 328 2 1 
3 Bureau 1149 0 545 328 2 1 
4 Bureau 1694 0 545 328 2 1 
5 Bureau 2239 0 542 323 2 1 
6 Bureau 2781 0 542 323 2 1 
7 Reserve 3323 0 296 323 0 1 
8 Reprographie 3619 0 456 328 2 1 
9 Convivialite 4075 0 500 328 2 0 
10 Formation/Reunion 4575 0 893 914 0 1 
11 Acces 3925 482 602 382 0 1
12 Menage 3655 482 270 382 1 1
13 Sanitaires 3324 482 331 381 0 1
14 Acces 2784 482 540 381 1 0  
15 Bureau 2299 482 485 377 2 1 
16 Bureau 1814 482 485 382 2 1
17 Bureau 1474 482 340 382 2 1 
18 Acces 872 482 602 382 0 1 
19 Serveurs 684 482 188 382 0 1 
20 Laboratoire 0 482 684 385 5 1 
21 Sas 0 328 439 154 1 1
22 Couloir 439 328 4136 154 0 0  
